molecule,receptor,subtype,is_validation,best_affinity,mw
PRO-LAD,5-HT2A_6WHA,5-HT2A,True,-7.976,351.5
PRO-LAD,5-HT2B_5TUD,5-HT2B,True,-9.024,351.5
Ergine,5-HT1A_7E2Y,5-HT1A,False,-8.912,267.3
Ergine,5-HT1B_4IAR,5-HT1B,False,-9.453,267.3
Ergine,5-HT1D_7E32,5-HT1D,False,-8.199,267.3
Ergine,5-HT1E_7E33,5-HT1E,False,-9.577,267.3
Ergine,5-HT1F_7EXD,5-HT1F,False,-8.703,267.3
Ergine,5-HT2A_7WC6,5-HT2A,False,-9.207,267.3
Ergine,5-HT2B_4IB4,5-HT2B,False,-8.933,267.3
Ergine,5-HT2C_6BQH,5-HT2C,False,-9.013,267.3
Ergine,5-HT4_7XT8,5-HT4,False,-9.125,267.3
Ergine,5-HT6_7XTC,5-HT6,False,-8.656,267.3
Ergine,5-HT7_7XTA,5-HT7,False,-9.415,267.3
Ergine,5-HT2A_6WHA,5-HT2A,True,-7.881,267.3
Ergine,5-HT2B_5TUD,5-HT2B,True,-8.528,267.3
Ergometrine,5-HT1A_7E2Y,5-HT1A,False,-8.852,325.4
Ergometrine,5-HT1B_4IAR,5-HT1B,False,-9.381,325.4
Ergometrine,5-HT1D_7E32,5-HT1D,False,-6.801,325.4
Ergometrine,5-HT1E_7E33,5-HT1E,False,-8.655,325.4
Ergometrine,5-HT1F_7EXD,5-HT1F,False,-9.188,325.4
Ergometrine,5-HT2A_7WC6,5-HT2A,False,-9.556,325.4
Ergometrine,5-HT2B_4IB4,5-HT2B,False,-8.297,325.4
Ergometrine,5-HT2C_6BQH,5-HT2C,False,-9.026,325.4
Ergometrine,5-HT4_7XT8,5-HT4,False,-8.683,325.4
Ergometrine,5-HT6_7XTC,5-HT6,False,-8.262,325.4
Ergometrine,5-HT7_7XTA,5-HT7,False,-9.919,325.4
Ergometrine,5-HT2A_6WHA,5-HT2A,True,-7.97,325.4
Ergometrine,5-HT2B_5TUD,5-HT2B,True,-8.431,325.4
